Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,34.709,30.972,0.0,top
C2,100n,C_0402_1005Metric,34.709,29.002,0.0,top
C3,22p,C_0402_1005Metric,34.709,27.032,0.0,top
C4,22p,C_0402_1005Metric,34.709,25.062,0.0,top
C5,560p,C_0402_1005Metric,34.709,23.092,0.0,top
C6,560p,C_0402_1005Metric,34.709,21.122,0.0,top
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,32.5,52.5,270.0,bottom
R1,4k7,R_0402_1005Metric,37.599,30.962,0.0,top
R2,100R,R_0402_1005Metric,37.599,28.972,0.0,top
R3,4k7,R_0402_1005Metric,37.599,26.982,0.0,top
R4,100R,R_0402_1005Metric,37.599,24.992,0.0,top
R5,120R,R_0402_1005Metric,37.599,23.002,0.0,top
U1,DB125-3.5-2P-GN-S,DB125-3.5-2P-GN-S_2025,29.083,6.604,0.0,top
U2,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,40.005,40.894,0.0,top
U4,SN65HVD230DR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,42.159,27.662,0.0,top
X1,X322516MLB4SI,OSC-SMD_4P-L3.2-W2.5-BL,21.719,28.937,0.0,top
