Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402,51.891,42.9851,90.0,top
C2,22pF,C_0402,49.149,40.386,180.0,top
C3,100nF,C_0603,44.9072,29.7688,90.0,top
C4,470pF,C_0402,56.4722,18.2372,0.0,top
C5,470pF,C_0402,44.9834,18.288,180.0,top
C7,100nF,C_0603,30.462,34.036,0.0,top
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,32.5,52.5,270.0,bottom
R1,4.7kΩ,R_0402,53.1368,33.8582,90.0,top
R2,120Ω,R_0603,53.4242,18.2372,0.0,top
R3,4.7kΩ,R_0402,31.25,35.433,0.0,top
R4,120Ω,R_0603,55.8038,29.7436,90.0,top
R5,120Ω,R_0603,48.1004,18.288,180.0,top
U1,MX128-5.08-09P-GN01-CU-Y-A,CONN-TH_9P-P5.08_MX128-5.08-09P-GN01-CU-Y-A,33.1216,5.9944,0.0,top
U2,MCP2515T-I/SO,MCP2515T-IST_SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL,38.354,39.243,90.0,top
U4,SN65HVD230DR,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,50.3936,29.8196,-90.0,top
X1,X322516MLB4SI,OSC-SMD_4P-L3.2-W2.5-BL,49.022,42.672,180.0,top
