Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402,2,22pF,C1555
C3,C_0402,1,10nF,C15195
C4,C_0402,1,470pF,C1537
C5,C_0402,1,100nF,C1525
C7,C_0603,1,100nF,C14663
D1,TI ESD2CANFD24DBZR,1,ESD2CANFD24DBZR,
J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
J2,CONN-TH_5P-P5.08_DIBO_DB128V-5.08-5P-GN-S,1,DB128V-5.08-5P-GN-S,
"J3, J4",CONN-TH_7P-P5.08_DIBO_DB128V-5.08-7P-GN-S,2,DB128V-5.08-7P-GN-S,
"R1, R3, R6, R7",R_0402,4,4.7kΩ,C25900
"R10, R11, R8, R9",R_0402,4,120Ω,C25079
U1,MICROCHIP ATECC608A-SSHDA-T,1,ATECC608A-SSHDA-T,
U2,MCP2515T-IST_SOIC-18_L11.6-W7.5-P1.27-LS10.3-BL,1,MCP2515T-I/SO,
U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,SN65HVD230DR,C12084
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322516MLB4SI,C13738
