Designator,Mid X,Mid Y,Rotation,Layer
C1,50.62,42.73,90.0,top
C2,47.85,40.57,180.0,top
C3,34.56,26.81,90.0,top
C4,45.96,19.3,0.0,top
C5,33.33,26.83,90.0,top
C7,30.462,34.036,0.0,top
D1,50.18,18.27,90.0,top
J1,32.5,52.5,270.0,bottom
J2,5.94,31.55,270.0,top
J3,26.78,6.05,0.0,top
J4,58.95,25.57,90.0,top
R1,44.52,28.76,0.0,top
R10,45.4,21.34,270.0,top
R11,46.51,21.34,270.0,top
R3,31.25,35.433,0.0,top
R6,24.1704,36.57,180.0,top
R7,21.5304,36.0,90.0,top
R8,45.38,17.53,90.0,top
R9,46.52,17.56,90.0,top
U1,23.4454,41.33,180.0,top
U2,38.354,39.243,90.0,top
U4,39.29,26.83,180.0,top
X1,47.949,42.754,180.0,top
